Index Change,Ticker,Announced,Trade Date,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade,Comments,Unnamed: 11
MSCI SC,COLB US,2023-02-27,2023-03-01,Upweight,29.73,Financials,-,-,-,COLB acq UMPQ for 0.5958 COLB per UMPQ held.,
MSCI SC,UMPQ US,2023-02-27,2023-03-01,Delete,17.66,Financials,-,-,-,COLB acq UMPQ for 0.5958 COLB per UMPQ held.,
MSCI SC,AVTA US,2023-02-27,2023-03-01,Downweight,28.59,Financials,-112500,-3.2,-0.12,"AVTA completed a Dutch buyback of 8,333,333 shares at $30.00.",
MSCI SC,COWN US,2023-02-27,2023-03-01,Delete,38.99,Financials,-,-,-,Acquired for $39 per share in cash - has been halted.,
MSCI SC,COUP US,2023-02-27,2023-03-01,Delete,80.97,Information Technology,-,-,-,Acquired for $81 per share in cash - deal has closed.,
Russell 2000,COWN US,2023-02-27,2023-02-28,Delete,38.99,Financials,-3865826,-150.7,-5.15,Acquired for $39 per share in cash,
SP600,AVTA US,2023-02-27,2023-02-28,Downweight,29.66,Financials,-1094956,-32.5,-1.32,"AVTA completed a Dutch buyback of 8,333,333 shares at $30.00.",
Russell 1000,COLB US*,2023-02-27,2023-02-28,Upweight,30.16,Financials,2875906,86.7,1.81,0.5958:1 Reverse Split to effect merger terms followed by subsequent upweight to reflect merger consideration. *Note this line was previously UMPQ but will be continued as COLB US in the Russell 1000,
Russell 2000,COLB US,2023-02-27,2023-02-28,Delete,30.14,Financials,-11378640,-343,-9.66,Drop from Russell 2000 given continuation in Russell 1000,
Russell 2000,RFP US,2023-02-24,2023-02-28,Delete,22.13,Materials,-6636011,-146.9,-14.74,Acq for $20.50 per share in cash. Exp 2/28 LDOT,
SP400,COLB US,2023-02-23,2023-02-28,SP600 to SP400,30.51,Financials,22824704,696.4,20.08,Moved from SP600,
SP600,COLB US,2023-02-23,2023-02-28,SP600 to SP400,30.51,Financials,-10636085,-324.5,-9.36,Moved to SP400,
SP400,UMPQ US,2023-02-23,2023-02-28,Delete,18.14,Financials,-23810714,-431.9,-15.4,COLB to Acquire UMPQ for 0.5958 stock,
SP600,VRRM US,2023-02-23,2023-02-28,Add,16.12,Information Technology,18315147,295.2,18.7,Replaces COLB in SP600,
Russell 1000,COUP US,2023-02-24,2023-02-27,Delete,80.34,Information Technology,-3088348,-248.1,-1.58,Acq for $81 per share in cash. 2/27 LDOT,
MSCI SC,CINC US,2023-02-23,2023-02-27,Delete,29.06,Health Care,-,-,-,Tender Offer. No longer trading.,
MSCI SC,ONEM US,2023-02-22,2023-02-24,Delete,16.47,Health Care,-,-,-,Acquired by AMZN for $18. No longer trading.,
MSCI SC,LHCG US,2023-02-22,2023-02-24,Delete,169.81,Health Care,-,-,-,Acquired by UNH for $170. No longer trading.,
Russell 2000,CINC US,2023-02-21,2023-02-23,Delete,29.15,Health Care,-3586565,-104.5,-5.34,Tender Offer,
SP600,IDCC US,2023-02-21,2023-02-22,Downweight,71.79,Information Technology,-360036,-25.8,-0.78,Dutch Buyback,
SP400,LHCG US,2023-02-16,2023-02-22,Delete,168.72,Health Care,-3406874,-574.8,-6.2,UNH acq LHCG for $170.00 per share.,
SP400,UFPI US,2023-02-16,2023-02-22,SP600 to SP400,94.27,Industrials,6767852,638,32.25,Moved from SP600,
SP600,UFPI US,2023-02-16,2023-02-22,SP600 to SP400,94.27,Industrials,-8099233,-763.5,-38.59,Moved to SP400,
SP600,OTTR US,2023-02-16,2023-02-22,Add,62.75,Utilities,5600202,351.4,37.08,Replaces UFPI in the SP600,
Russell 2000,LHCG US,2023-02-16,2023-02-22,Delete,168.72,Health Care,-4132745,-697.3,-7.52,UNH acq LHCG for $170.00 per share.,
Russell 2000,ALBO US,2023-02-16,2023-02-21,Delete,44.06,Health Care,-2522842,-111.2,-3.86,Acquired for $42 per share in cash.,
MSCI SC,PAYA US,2023-02-16,2023-02-21,Delete,9.73,Information Technology,-1287743,-12.5,-0.31,Acquired for $9.75 per share in cash.,
Russell 2000,WEBR US,2023-02-15,2023-02-17,Delete,8.12,Consumer Discretionary,-3903245,-31.7,-14.49,Acq for $8.05 per share in cash,
Russell 2000,TRNO US,2023-02-10,2023-02-14,Upweight,63.32,Real Estate,710674,45,1.29,Equity Offering,
Russell 2000,VLDR US,2023-02-10,2023-02-13,Delete,1.26,Information Technology,-,-,-,Acq by OUST for 0.8204 OUST per VLDR held. VLDR has been halted.,
Russell 2000,OUST US,2023-02-10,2023-02-13,Upweight,1.53,Information Technology,-,-,-,Acq VLDR for 0.8204 OUST per VLDR held. VLDR has been halted.,
MSCI SC,PRPL US,2023-02-09,2023-02-13,Upweight,4.54,Consumer Discretionary,214660,1,0.33,Equity Offering,
Russell 1000,DT US,2023-02-08,2023-02-10,Upweight,44.11,Information Technology,669000,29.5,0.23,Equity Offering,
MSCI Std,DT US,2023-02-08,2023-02-10,Upweight,44.11,Information Technology,359175,15.8,0.12,Equity Offering,
MSCI SC,XPOF US,2023-02-08,2023-02-10,Upweight,23.76,Consumer Discretionary,89199,2.1,0.22,Equity Offering,
MSCI SC,FCF US,2023-02-06,2023-02-08,Upweight,15.76,Financials,142258,2.2,0.3,Acq CFCX in a stock deal,
MSCI SC,GOEV US,2023-02-06,2023-02-08,Upweight,1.1,Consumer Discretionary,1815144,2,0.13,Private Placement,
MSCI SC,TWO US,2023-02-03,2023-02-07,Upweight,17.59,Financials,150000,2.6,0.14,TWO completed a secondary offering of new shares.,
SP600,TWO US,2023-02-03,2023-02-06,Upweight,17.59,Financials,1394000,24.5,1.32,TWO completed a secondary offering of new shares.,
MSCI SC,VERA US,2023-02-02,2023-02-06,Delete,7.16,Health Care,-223099,-1.6,-0.2,Deleted following size review triggered by follow on,
MSCI SC,HBT US,2023-02-02,2023-02-06,Upweight,21.14,Financials,15204,0.3,0.5,Acq TWCF in a cash or stock deal,
MSCI SC,STOR US,2023-02-01,2023-02-03,Delete,32.21,Real Estate,,-,-,Acquired for $32.25 per share in cash. LDOT updated to 2/2,
SP400,STOR US,2023-01-30,2023-02-03,Delete,32.21,Real Estate,-29162770,-939.3,-11.11,STOR acq for $32.25 per share in cash.,
SP400,ADC US,2023-01-30,2023-02-03,SP600 to SP400,74.15,Real Estate,9722570,720.9,12.41,Moved from SP600,
SP600,ADC US,2023-01-30,2023-02-03,SP600 to SP400,74.15,Real Estate,-11858153,-879.3,-15.14,Moved to SP400,
SP600,CRK US,2023-01-30,2023-02-03,Add,11.74,Energy,11979162,140.6,3.34,Replaces ADC in the SP600,
Russell 1000,STOR US,2023-01-30,2023-02-03,Delete,32.21,Real Estate,-9329094,-300.5,-3.56,STOR acq for $32.25 per share in cash.,
MSCI SC,WGS US,2023-01-30,2023-02-01,Delete,0.4,Health Care,-1712887,-0.7,-0.64,Deletion due to post-offering size review,
SP600,NOG US,2023-01-26,2023-02-01,Add,33.32,Energy,8902171,296.6,7.09,Replaces SJI in the SP600,
SP600,SJI US,2023-01-26,2023-02-01,Delete,36.11,Utilities,-16091901,-581.1,-4.22,Private company acquiring SJI for $36 per share in cash.,
Russell 2000,SJI US,2023-01-27,2023-01-31,Delete,36.11,Utilities,-17738157,-640.5,-4.49,Private company acquiring SJI for $36 per share in cash. Exp LDOT 1/31,
MSCI SC,SBCF US,2023-01-27,2023-01-31,Upweight,32.65,Financials,184057,6,0.3,SBCF acq PFHD for 0.8909 SBCF per PFHD held.,
MSCI SC,KNBE US,2023-01-27,2023-01-31,Delete,24.86,Information Technology,-1135339,-28.2,-1.28,Acq for $24.90 per share in cash.,
MSCI SC,SJI US,2023-01-27,2023-01-31,Delete,36.11,Utilities,-1836972,-66.3,-0.47,Private company acquiring SJI for $36 per share in cash. Exp LDOT 1/3,
SP600,SBCF US,2023-01-25,2023-01-31,Upweight,31.4,Financials,1549707,48.7,2.67,SBCF to acquire PFHD for .8909 stock. PFHD LDOT Jan 31.,
Russell 2000,PFHD US,2023-01-25,2023-01-31,Delete,27.96,Financials,-,-,-,SBCF to acquire PFHD for .8909 stock. PFHD LDOT Jan 31.,
Russell 2000,SBCF US,2023-01-25,2023-01-31,Upweight,31.4,Financials,-,-,-,SBCF to acquire PFHD for .8909 stock. PFHD LDOT Jan 31.,
Russell 1000,SNX US,2023-01-26,2023-01-30,Upweight,102.52,Information Technology,149371,15.3,0.38,Equity Offering,
MSCI SC,VIVO US,2023-01-26,2023-01-30,Delete,33.97,Health Care,-656215,-22.3,-1.04,A consortium to acquire VIVO for $34.00 USD cash per share. LDOT Jan 30,
SP600,DV US,2023-01-25,2023-01-30,Add,25.44,Information Technology,9749059,248,12.45,Replaces VIVO in the SP600,
SP600,VIVO US,2023-01-25,2023-01-30,Delete,33.95,Health Care,-5748487,-195.2,-7.82,A consortium to acquire VIVO for $34.00 USD cash per share. LDOT Jan 30.,
Russell 2000,VIVO US,2023-01-25,2023-01-30,Delete,33.95,Health Care,-5956389,-202.2,-8.11,A consortium to acquire VIVO for $34.00 USD cash per share. LDOT Jan 30.,
MSCI SC,PGEN US,2023-01-25,2023-01-27,Upweight,1.65,Health Care,697939,1.2,0.53,Equity Offering,
MSCI SC,PLRX US,2023-01-25,2023-01-27,Upweight,34.65,Health Care,93750,3.2,0.09,Equity Offering,
MSCI SC,BLUE US,2023-01-19,2023-01-23,Upweight,5.92,Health Care,387023,2.3,0.11,Equity Offering,
MSCI SC,FULC US,2023-01-18,2023-01-20,Upweight,12.43,Health Care,32012,0.4,0.03,Equity Offering,
MSCI SC,AVEO US,2023-01-13,2023-01-18,Delete,14.98,Health Care,-467293,-7,-1.07,Acq. For $15 per share in cash.,
SP400,VTS-W US,2023-01-11,2023-01-17,Delete,17.75,Energy,-2367334,-42,,Spin Off Removal,
MSCI SC,VTS-W US,2023-01-11,2023-01-17,Add,17.75,Energy,-,-,-,JEF to spin off VTS - shareholders will receive 0.11769303 VTS per JEF held.,
SP400,VTS-W US,2023-01-11,2023-01-13,Add,17.75,Energy,-,-,-,JEF to spin off VTS - shareholders will receive 0.11769303 VTS per JEF held.,
Russell 1000,VTS-W US,2023-01-10,2023-01-13,Add,17.5,Energy,-,-,-,Spun off from JEF for 0.117693 VTS per JEF held.,
MSCI SC,IMGO US,2023-01-10,2023-01-12,Delete,36.01,Health Care,-,-,-,Acq for $46 per share in cash. IMGO has been halted.,
Russell 2000,USER US,2023-01-06,2023-01-11,Delete,7.51,Information Technology,-6639941,-49.9,-1.8,Acq for $7.50 per share in cash,
MSCI SC,GERN US,2023-01-06,2023-01-10,Upweight,2.5,Health Care,429059,1.1,0.04,Equity offering,
SP400,LTHM US,2022-12-19,2023-01-04,Upweight,17.45,Materials,27208543,474.8,4.71,2.406:1 stock split followed by acquisition of AKE AU for stock.,
SP600,BRKL US,2022-12-30,2023-01-04,Upweight,14.15,Financials,1579563,22.4,3.78,BRKL acq PCSB for $22.00 or 1.3284 BRKL per PCSB held. Deal has closed.,
MSCI SC,BRKL US,2022-12-30,2023-01-04,Upweight,14.15,Financials,183337,2.6,0.44,BRKL acq PCSB for $22.00 or 1.3284 BRKL per PCSB held. Deal has closed.,
SP600,OFIX US,2022-12-30,2023-01-04,Upweight,20.53,Health Care,1911568,39.2,7.49,OFIX acq SPNE for 0.4163 OXIX per SPNE held.,
Russell 2000,OFIX US,2022-12-30,2023-01-04,Upweight,20.53,Health Care,-,-,-,OFIX acq SPNE for 0.4163 OXIX per SPNE held.,
MSCI SC,OFIX US,2022-12-30,2023-01-04,Upweight,20.53,Health Care,205606,4.2,0.81,OFIX acq SPNE for 0.4163 OXIX per SPNE held.,
Russell 2000,POSH US,2022-12-30,2023-01-04,Delete,17.88,Consumer Discretionary,-6759189,-120.9,-6.15,Acq for $17.90 per share in cash. Exp LDOT 1/4.,
Russell 2000,SPNE US,2022-12-30,2023-01-04,Delete,8.35,Health Care,-,-,-,OFIX acq SPNE for 0.4163 OXIX per SPNE held.,
MSCI Std,GEHCV US,2022-12-29,2023-01-04,Add,58.38,Health Care,-,-,-,GE will spin off GEHC. Shareholders to receive 1 GEHC per 3 GE held.,
SP600,JYNT US,2022-12-28,2023-01-04,Delete,15.51,Health Care,-1954576,-30.3,-14.43,Discretionary Drop,
SP400,RXO US,2022-12-28,2023-01-04,SP400 to SP600,16.32,Industrials,-12628006,-206.1,-12.13,Moved to SP600,
SP600,RXO US,2022-12-28,2023-01-04,SP400 to SP600,16.32,Industrials,16046892,261.9,15.41,Moved from SP400,
SP500,VNO US,2022-12-28,2023-01-04,SP500 to SP400,20.89,Real Estate,-27981507,-584.5,-8.08,Moved to SP400,
SP400,VNO US,2022-12-28,2023-01-04,SP500 to SP400,20.89,Real Estate,17671683,369.2,5.11,Moved from SP500,
S&P Completion,VNO US,2022-12-28,2023-01-04,Add,20.89,Real Estate,3221820,67.3,0.93,Added to S&P Completion Index following removal from SP500,
MSCI SC,NXT US,2022-12-28,2023-01-03,Upweight,47.45,Industrials,-,-,-,Distribution of NXT shares from FLEX. Self-rebalancing by way of FLEX membership in MSCI SC USA.,
Russell 2000,LTHM US,2022-12-20,2023-01-03,Upweight,16.29,Materials,33833322,551.1,5.55,LTHM is merging with AKE AU for stock. Upweight reflects issuance of newco stock to AKE AU holders. Amended from Dec 21st implementation to Jan 3rd.,
Russell 1000,GEHCV US,2022-12-29,2023-01-03,Add,58,Health Care,-,-,-,GE will spin off GEHC. Shareholders to receive 1 GEHC per 3 GE held.,
MSCI SC,AMRS US,2022-12-29,2023-01-03,Upweight,1.55,Materials,1165096,1.8,0.2,Equity offering,
SP500,GEHCV US,2022-12-28,2023-01-03,Add,57.5,Health Care,-,-,-,GE will spin off GEHC. Shareholders to receive 1 GEHC per 3 GE held.,
Russell 2000,FMNB US,2022-12-28,2022-12-30,Upweight,14.08,Financials,496205,7,3.82,Acq EMCF in a cash or stock deal.,
MSCI SC,MNRL US,2022-12-23,2022-12-28,Delete,33.27,Energy,-765525,-25.5,-1.66,Acquired by STR for 1.133 STR per MNRL held.,
Russell 2000,MNRL US,2022-12-21,2022-12-28,Delete,34,Energy,-,-,-,Acquired by STR for 1.133 STR per MNRL held.,
Russell 2000,STR US,2022-12-21,2022-12-28,Upweight,30.04,Energy,-,-,-,Acquired MNRL for 1.133 STR per MNRL held.,
Russell 2000,LFG US,2022-12-23,2022-12-27,Delete,26,Energy,-11703326,-304.3,-5.63,Acquired for $26 per share in cash. LDOT exp 12/27,
MSCI SC,LFG US,2022-12-23,2022-12-27,Delete,26,Energy,-1223837,-31.8,-0.59,Acquired for $26 per share in cash. LDOT exp 12/27,
MSCI SC,POSH US,2022-12-23,2022-12-27,Delete,17.87,Consumer Discretionary,-242506,-4.3,-0.23,Acquired for $17.90 per share in cash.,
SP400,GTLS US,2022-12-16,2022-12-23,Upweight,116.58,Industrials,650129,75.8,0.44,Secondary offering of new shares.,
SP600,TFIN US,2022-12-16,2022-12-23,Downweight,46.25,Financials,-51718,-2.4,-0.22,"Dutch buyback of 408,615 shares at $58.00.",
SP600,TGIDW US,2022-12-21,2022-12-22,Delete,1.06,Industrials,-2561117,-2.7,,TGI warrants deleted as now trading on pink sheets.,
Russell 2000,TGIDW US,2022-12-20,2022-12-22,Delete,2,Industrials,-2775136,-5.6,,Warrants removed from Russell indexes,
SP500,ABMD US,2022-12-19,2022-12-21,Delete,381.3,Health Care,-7863870,-2998.5,-5.3,JNJ acq ABMD for $380.00 & 1 CVR. Tender offer expires 11:59 PM 12/21,
SP500,STLD US,2022-12-19,2022-12-21,SP400 to SP500,101.54,Materials,29088603,2953.7,16.26,Moved from SP400,
SP400,STLD US,2022-12-19,2022-12-21,SP400 to SP500,101.54,Materials,-18313811,-1859.6,-10.24,Moved to SP500,
SP400,SMCI US,2022-12-19,2022-12-21,Add,78.29,Information Technology,5054602,395.7,5.5,Replaces STLD in the SP400,
MSCI Std,ABMD US,2022-12-19,2022-12-21,Delete,381.3,Health Care,-1136522,-433.4,-0.77,JNJ acq ABMD for $380.00 & 1 CVR. Tender offer expires 11:59 PM 12/21,
MSCI SC,RNA US,2022-12-16,2022-12-20,Upweight,18.42,Health Care,123858,2.3,0.04,Equity Offering,
Russell 1000,NFE US,2022-12-15,2022-12-19,Upweight,44.15,Energy,307740,13.6,0.18,Equity Offering,
Nasdaq 100,BKR,2022-12-09,2022-12-16,Add,,Energy,15066389,408.4,2.05,Quarterly Rebalance,
Nasdaq 100,CSGP,2022-12-09,2022-12-16,Add,,Industrials,9441955,762,4,Quarterly Rebalance,
Nasdaq 100,FANG,2022-12-09,2022-12-16,Add,,Energy,2774474,359.6,0.98,Quarterly Rebalance,
Nasdaq 100,GFS,2022-12-09,2022-12-16,Add,,Information Technology,9464051,600.2,4.53,Quarterly Rebalance,
Nasdaq 100,RIVN,2022-12-09,2022-12-16,Add,,Consumer Discretionary,14804662,404,1.16,Quarterly Rebalance,
Nasdaq 100,WBD,2022-12-09,2022-12-16,Add,,Communication Services,43137873,478.4,1.55,Quarterly Rebalance,
Nasdaq 100,BIDU,2022-12-09,2022-12-16,Delete,,Communication Services,-3472478,-416.7,-0.96,Quarterly Rebalance,
Nasdaq 100,DOCU,2022-12-09,2022-12-16,Delete,,Information Technology,-4115273,-202.3,-0.62,Quarterly Rebalance,
Nasdaq 100,MTCH,2022-12-09,2022-12-16,Delete,,Communication Services,-5852107,-255,-1.27,Quarterly Rebalance,
Nasdaq 100,NTES,2022-12-09,2022-12-16,Delete,,Communication Services,-2838946,-199.2,-1.39,Quarterly Rebalance,
Nasdaq 100,SPLK,2022-12-09,2022-12-16,Delete,,Information Technology,-2925918,-256.1,-1.23,Quarterly Rebalance,
Nasdaq 100,SWKS,2022-12-09,2022-12-16,Delete,,Information Technology,-2908130,-274.9,-1.43,Quarterly Rebalance,
Nasdaq 100,VRSN,2022-12-09,2022-12-16,Delete,,Information Technology,-2412142,-476.8,-3.68,Quarterly Rebalance,
SP500,FSLR,2022-12-02,2022-12-16,SP400 to SP500,,Information Technology,5010359,756.4,1.91,Quarterly Rebalance,
SP400,FBIN,2022-12-02,2022-12-16,SP500 to SP400,,Industrials,-6491259,-334.7,-4.42,Quarterly Rebalance,
SP600,MBC,2022-12-02,2022-12-16,SP500 to SP600,,Industrials,-2176413,-19.6,,Quarterly Rebalance,
SP400,ALGM,2022-12-02,2022-12-16,Add,,Information Technology,7363404,239.2,6.67,Quarterly Rebalance,
SP400,CUBE,2022-12-02,2022-12-16,Add,,Real Estate,24998123,1073.9,13.33,Quarterly Rebalance,
SP600,NUVA,2022-12-02,2022-12-16,SP400 to SP600,,Health Care,1781454,73.8,1.97,Quarterly Rebalance,
SP600,SMTC,2022-12-02,2022-12-16,SP400 to SP600,,Information Technology,2315766,67.9,2.18,Quarterly Rebalance,
SP600,AGTI,2022-12-02,2022-12-16,Add,,Health Care,4565969,75.4,13.63,Quarterly Rebalance,
SP600,CWK,2022-12-02,2022-12-16,Add,,Real Estate,23443576,278.7,10.16,Quarterly Rebalance,
SP600,SJW,2022-12-02,2022-12-16,Add,,Utilities,3423030,270.4,14.13,Quarterly Rebalance,
SP600,CATO,2022-12-02,2022-12-16,Delete,,Consumer Discretionary,-2287902,-21,-15.98,Quarterly Rebalance,
SP600,CONN,2022-12-02,2022-12-16,Delete,,Consumer Discretionary,-1831921,-13.4,-6.75,Quarterly Rebalance,
SP600,DBD,2022-12-02,2022-12-16,Delete,,Information Technology,-9854414,-16.7,-5.83,Quarterly Rebalance,
SP600,DHC,2022-12-02,2022-12-16,Delete,,Real Estate,-34148521,-26.2,-9.93,Quarterly Rebalance,
SP600,LL,2022-12-02,2022-12-16,Delete,,Consumer Discretionary,-4185429,-26.1,-6.92,Quarterly Rebalance,
SP600,TUP,2022-12-02,2022-12-16,Delete,,Consumer Discretionary,-5528369,-22.6,-3.3,Quarterly Rebalance,
Russell 1000,CRBG,2022-12-02,2022-12-16,Add,,Financials,5230873,103.8,4.89,Quarterly Rebalance,
Russell 2000,PRME,2022-12-02,2022-12-16,Add,,Health Care,1736714,29.3,7.31,Quarterly Rebalance,
Russell 3000,THRD,2022-12-02,2022-12-16,Add,,Health Care,2118786,40.3,19.01,Quarterly Rebalance,
MSCI SC,HCKT US,2022-12-14,2022-12-16,Upweight,20.46,Information Technology,947,-,-,Buyback & Float Adjustment,
SP500,FBHS US,2022-12-12,2022-12-16,Delete,61.91,Industrials,-22503098,-1393.2,-16.12,Moved to SP400 following spin-off of MBC,
SP400,FBHS US,2022-12-12,2022-12-16,Add,61.91,Industrials,14068257,871,10.08,Moved to SP400 following spin-off of MBC,
SP500,FSLR US,2022-12-12,2022-12-16,Add,150.28,Information Technology,17290640,2598.4,6.21,Moved from SP400,
SP400,FSLR US,2022-12-12,2022-12-16,Delete,150.28,Information Technology,-10880777,-1635.2,-3.91,Moved to SP500,
SP500,MBC-W US,2022-12-12,2022-12-16,Delete,8.5,Industrials,-22503098,-191.3,,Moved to SP600 following spin-off from FBHS,
SP600,MBC-W US,2022-12-12,2022-12-16,Add,8.5,Industrials,18026790,153.2,,Moved to SP600 following spin-off from FBHS,
SP600,CONN US,2022-12-12,2022-12-16,Delete,7.34,Consumer Discretionary,-1790665,-13.1,-8.85,Discretionary Removal,
Russell 2000,BTRS US,2022-12-13,2022-12-15,Delete,9.49,Information Technology,-13897915,-131.9,-7.83,Acquired by EQT Partners for $9.50 per share in cash.,
MSCI SC,BTRS US,2022-12-13,2022-12-15,Delete,9.49,Information Technology,-706457,-6.7,-0.4,Acquired by EQT Partners for $9.50 per share in cash.,
SP500,MBC-W US,2022-12-12,2022-12-14,Add,8.5,Industrials,-,-,-,FBHS spun off MBC for 1 MBC per FBHS held.,
Russell 1000,MBC-W US,2022-12-12,2022-12-14,Add,8.5,Industrials,-,-,-,FBHS spun off MBC for 1 MBC per FBHS held.,
Russell 1000,ABMD US,2022-12-09,2022-12-13,Delete,380.75,Health Care,-1988580,-757.2,-1.2,JNJ has offered to tender ABMD shares for $380 & 1 CVR per share.,
MSCI SC,REPL US,2022-12-09,2022-12-13,Upweight,25,Health Care,95827,2.4,0.19,Public Offering,
MSCI SC,ERAS US,2022-12-09,2022-12-13,Upweight,5.68,Health Care,336416,1.9,0.49,Public Offering,
MSCI SC,GTLS US,2022-12-09,2022-12-13,Upweight,117.2,Industrials,52128,6.1,0.04,Public Offering,
MSCI SC,RXDX US,2022-12-09,2022-12-13,Upweight,110.2,Health Care,114557,12.6,0.1,Public Offering,
MSCI SC,SNDX US,2022-12-07,2022-12-09,Upweight,21.84,Health Care,48866,1.1,0.06,Equity Offering,
MSCI SC,ADMA US,2022-12-07,2022-12-09,Upweight,3.45,Health Care,252551,0.9,0.07,Equity Offering,
Russell 2000,TGIW US,2022-12-06,2022-12-08,Add,,Industrials,-,-,-,TGI distributed warrants at a ratio of 3 warrants per 10 shares of common stock held that entitle the holder to purchase TGI for $12.35 per share. Expected to trade OTC - warrants have not yet traded.,
MSCI SC,SHLS US,2022-12-06,2022-12-08,Upweight,24,Industrials,187771,4.5,0.06,Equity Offering,
Russell 2000,SAFE US,2022-12-05,2022-12-07,Upweight,29.48,Real Estate,86964,2.6,0.39,Collapsed distribution of shares from STAR. Est trade reflects strictly Growth/Value as R2000 core entirely self-rebalancing,
Russell 2000,SAFE_x US,2022-12-05,2022-12-07,Delete,29.48,Real Estate,-105897,-3.1,-0.48,Collapsed distribution of shares from STAR. Est trade reflects strictly Growth/Value as R2000 core entirely self-rebalancing,
MSCI SC,KPTI US,2022-12-05,2022-12-07,Upweight,5.23,Health Care,312168,1.6,0.17,Private Placement,
MSCI SC,SAFE US,2022-12-01,2022-12-07,Upweight,28.88,Real Estate,2786,0.1,0.01,STAR distributed shares of SAFE. Distribution to be combined with pre-event holdings of SAFE. Trade reflects small difference in proforma holdings vs SAFE distribution line.,
MSCI SC,SAFE_x US,2022-12-01,2022-12-07,Delete,28.88,Real Estate,-,-,-,STAR distributed shares of SAFE. Distribution to be combined with pre-event holdings of SAFE,
Russell 2000,SHLS US,2022-12-02,2022-12-06,Upweight,24.79,Industrials,3629406,90,1.29,Equity Offering,
Russell 2000,NTLA US,2022-12-01,2022-12-05,Upweight,45.8,Health Care,918163,42.1,0.95,Equity Offering,
Russell 2000,ISEE US,2022-12-01,2022-12-05,Upweight,22.76,Health Care,1856334,42.3,0.59,Equity Offering,
MSCI SC,FREY US,2022-12-01,2022-12-05,Upweight,12.01,Industrials,183350,2.2,0.08,Equity Offering,
MSCI SC,ISEE US,2022-12-01,2022-12-05,Upweight,22.76,Health Care,275509,6.3,0.09,Equity Offering,
MSCI SC,SWCH US,2022-12-01,2022-12-05,Delete,34.22,Information Technology,-1241814,-42.5,-0.56,Acquired by DBRG for $34.25 per share in cash,
Russell 1000,SWCH US,2022-11-30,2022-12-05,Delete,34.25,Information Technology,-6050117,-207.2,-2.71,Acquired by DBRG for $34.25 per share in cash.,
MSCI SC,AKUS US,2022-11-30,2022-12-02,Delete,13.29,Health Care,-,-,-,Acq by LLY for $12.50 per share in cash. AKUS has been halted.,
MSCI SC,ASPN US,2022-11-30,2022-12-02,Upweight,12.06,Materials,200084,2.4,0.25,Equity Offering,
SP400,NXST US,2022-11-28,2022-11-30,Add,174.63,Communication Services,4257991,743.6,8.89,Replaces SABR in the SP400,
SP400,NYCB US,2022-11-28,2022-11-30,Upweight,9.28,Financials,23489544,218,1.73,NYCB acq FBC for 4.0151 NYCB per FBC held. Expected close Dec 1.,
SP400,SABR US,2022-11-28,2022-11-30,SP400 to SP600,5.43,Information Technology,-36017757,-195.6,-6.35,Moved to SP600,
SP600,SABR US,2022-11-28,2022-11-30,SP400 to SP600,5.43,Information Technology,44488894,241.6,7.85,Moved from SP400,
SP400,NUS US,2022-11-28,2022-11-30,SP400 to SP600,40,Consumer Staples,-5526796,-221.1,-8.06,Moved to SP600,
SP600,NUS US,2022-11-28,2022-11-30,SP400 to SP600,40,Consumer Staples,7023111,280.9,10.24,Moved from SP400,
SP400,PBF US,2022-11-28,2022-11-30,SP600 to SP400,42.82,Energy,12481161,534.4,5.19,Moved from SP600,
SP600,PBF US,2022-11-28,2022-11-30,SP600 to SP400,42.82,Energy,-14956661,-640.4,-6.22,Moved to SP400,
SP600,FBC US,2022-11-28,2022-11-30,Delete,37.18,Financials,-7007562,-260.5,-5.16,NYCB acq FBC for 4.0151 NYCB per FBC held. Expected close Dec 1.,
Russell 1000,FG,2022-11-28,2022-11-30,Add,23.5,Financials,-,,-,FG spun off from FNF for .068 shares of FG per FNF held.,
Russell 1000,NYCB US,2022-11-25,2022-11-30,Upweight,9.46,Financials,7662901,72.5,0.57,NYCB acq FBC for 4.0151 shs NYCB per FBC held.,
Russell 2000,FBC US,2022-11-25,2022-11-30,Delete,37.96,Financials,-7551107,-286.6,-5.65,NYCB acq FBC for 4.0151 shs NYCB per FBC held.,
Russell 2000,RCKT US,2022-11-23,2022-11-30,Upweight,18.6,Health Care,343179,6.4,0.45,RCKT acq RCOR for 0.1676 shs RCKT per RCOR held.,
Russell 2000,SAFE_x,2022-11-25,2022-11-29,Add,30.29,Real Estate,-,-,,Spun off from SAFE prior to its acquisition by STAR.,
Russell 2000,LAUR US,2022-11-18,2022-11-22,Upweight,10.21,Consumer Discretionary,3793899,38.7,2.38,Equity Offering,
MSCI Std,ZEN US,2022-11-18,2022-11-22,Delete,77.46,Information Technology,-3063583,-237.3,-1.33,Acq for $77.50/sh in cash. Exp LDOT 11/21,
MSCI SC,RAPT US,2022-11-18,2022-11-22,Upweight,18.23,Health Care,43461,0.8,0.14,Equity Offering,
MSCI SC,LAUR US,2022-11-18,2022-11-22,Upweight,10.21,Consumer Discretionary,254272,2.6,0.16,Equity Offering,
Russell 1000,NTRA US,2022-11-17,2022-11-21,Upweight,35.85,Health Care,449979,16.1,0.27,Equity Offering,
